STORE_NM,ADDR,UPJONG_DESC

플랜에이스터디카페 등촌센터,"서울 양천구  목동중앙북로7길  20-0, 2층 (목동)",JHY_EDIT

주식회사 대박이,"서울 구로구  디지털로34길  55-0, 15층 1502호 (구로동,코오롱싸이언스밸리2차)",

(단)월드,"서울 강남구  강남대로94길  72-0, 지하1층 (역삼동)",FRAN

결정적순간,"서울 중구  삼일대로12길  22-1, 4층 (을지로2가)",

댕댕이연구소,"충북 청주시 청원구  충청대로  97-0, (율량동)",SEARCH_ADD

명품헬스케어,"전북 정읍시  충정로  58-0, 103호 (상동,정읍농협상동지점)",SEARCH_ADD

CJ아트,"충북 청주시 흥덕구  남석로  499-0, (석곡동)",매칭표_매핑

오죽헌 엄마의 밥상,"부산 연제구  아시아드대로  22-0, 2층 (거제동)",한식_SUB

엄마축산,"경기 고양시 덕양구  화중로152번길  4-0, 1층 (화정동)",SEARCH

(주)제이엠에프,"부산 동래구  충렬대로237번길  24-0, (수안동)",매칭표_매핑

노루목식당,"경북 경주시 양북면 어일중앙길  8-0, 1층 (어일리)",한식_SUB

작은섬식당,"대전 중구  선화로  120-0, 1층 (선화동)",한식_SUB

미래경영연구소,"서울 강남구  압구정로50길  28-0, 150호 (신사동,현대로데오상가)",SEARCH_ADD

한국외국어대학교외대어학원,"인천 연수구  해돋이로120번길  23-0, 702호,703호 (송도동)",FRAN

서일영어2관학원,"인천 연수구  독배로40번길  43-0, 5층 (옥련동,신송빌딩)",SEARCH_ADD

불국식당,"경북 경주시  진현로2길  53-0, (진현동)",한식_SUB

대박함바,"강원 춘천시  우두1길  57-0, 1층 (우두동)",한식_SUB

101줄눈,"충북 청주시 흥덕구 강내면 탑연월곡길  62-13, 102동 203호 (월곡리,청원쌍용예가1단지아파트)",JHY_EDIT

서비식당,"서울 동대문구  서울시립대로27길  40-0, 1층 (전농동)",한식_SUB

크로스핏하이퍼짐,"강원 춘천시  서부대성로239번길  29-0, (효자동)",SEARCH_ADD

다온까페,"충남 천안시 서북구  성정공원1길  9-13, 12층 (성정동)",SEARCH_ADD

직거래회수산,"경기 수원시 팔달구  덕영대로  693-0, 102호 (화서동,풍성프라자)",JHY_EDIT

대부여객터미널매점,"경기 안산시 단원구  대부황금로  1567-3, 7호 매점 (대부북동,대부고속카페리)",SEARCH

TGF(Total Golf Fits),"대구 수성구  고모로  157-0, (가천동)",SEARCH_ADD

주문식당,"경북 봉화군 석포면 석포로  185-0, (석포리)",한식_SUB

넘버25호텔 이천터미널점,"경기 이천시  이섭대천로  1229-0, 5-9층 (창전동)",매칭표_매핑

공원장묘원,인천 부평구 부평동 산57번지,매칭표_매핑

국대떡볶이,"강원 원주시 지정면 오크밸리2길  132-0, (판대리)",FRAN

대명셀파공부방,"경기 남양주시  경춘로1308번길  8-12, 102동 605호 (평내동,대명아파트)",JHY_EDIT

피엘컬러,"서울 강남구  논현로76길  24-0, 5002호 (역삼동)",

아람종합상사,"대전 서구  둔산대로117번길  66-0, 6층 623호 (만년동)",매칭표_매핑

밀양콜렉카,"경남 밀양시  북성로7길  34-2, 4동 103호 (내일동,신화아파트)",매칭표_매핑

말례밥집,"부산 중구  충장대로5번길  33-0, 1, 2층 (중앙동4가)",한식_SUB

부대장앤천족,"대구 달서구  화암로  327-0, 1층 103호 및 104호 (대곡동)",매칭표_매핑

참 바다수산,"경남 진주시 정촌면 삼일로106번길  11-0, 1층 (예하리)",JHY_EDIT

안트 방역,"충북 청주시 상당구  쇠내로145번길  15-0, A동 209호 (금천동,뉴타운아파트)",SEARCH_ADD

고돼지 심곡점,"경기 부천시  부일로432번길  13-0, 1층 일부 (심곡동)",SEARCH_ADD

브레댄코,"서울 강남구  영동대로85길  13-0, 1층 (대치동,대치동송석빌딩)",FRAN

건강밥상심마니(은계점),"경기 시흥시  은계번영길  23-0, 307,8,9호 (은행동)",한식_SUB

선식당 목동점,"서울 양천구  목동동로  73-0, 2층 203, 204호 (신정동,양지빌딩)",한식_SUB

바른수학연구소,"경기 남양주시 화도읍 경춘로2290번길  2-0, 111동 2203호 (월산리,남양주월산사랑으로부영1단지)",SEARCH_ADD

스트레오 클래식,"서울 서초구  효령로33길  50-0, 105동 303호 (방배동,방배서리풀이편한세상)",

해물먹을래,"경기 군포시  당동로22번길  21-0, 1층 일부호 (당동)",SEARCH_ADD

