store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
848154,세무회계서린(수원),경기도 수원시 영통구 하동,,,,,,,,
848190,맵당(본점),서울특별시 성동구 행당동,,,,,,,,
848213,새마을영농유통,경기도 고양시 덕양구 토당동,"스포츠,오락>수영장",,서울특별시 송파구 문정동 145,서울특별시 송파구 송이로31길 56,323835,543635,,https://bluewavedive.modoo.at/
848326,인아트 광주점,광주광역시 광산구 신창동,,,,,,,,
848388,타타대우AS,대전광역시 중구 선화동,,,,,,,,
848609,플랜키국 영 수 과전문학원,울산광역시 남구 삼산동,"어업>양어,양식업",,경기도 평택시 팽성읍 신대리 21-29,,310336,483041,,
848636,주식회사 명소,부산광역시 강서구 명지동,,,,,,,,
848660,경복궁하남점(주)덕용푸드시스템,경기도 하남시 망월동,"쇼핑,유통>캐주얼웨어",,대구광역시 수성구 만촌동 1356-21,대구광역시 수성구 화랑로 48,457400,363536,,
848697,지어스,서울특별시 강서구 화곡동,"해물,생선요리>복어요리",,경기도 양주시 삼숭동 670-1,경기도 양주시 송랑로 218 1층,319733,578360,,
848765,스타,전라북도 익산시 영등동,"한식>족발,보쌈",,부산광역시 해운대구 중동 1768-4,부산광역시 해운대구 좌동순환로 503,506635,285797,,https://www.nolboo.co.kr/index.asp
848881,주식회사 한길안전시스템,경기도 양주시 옥정동,"쇼핑,유통>반찬가게",,경기도 광명시 일직동 512,경기도 광명시 양지로 9 데시앙 스튜디오 에이-2동 비113호,301177,535685,,http://instagram.com/jungsungdameum
848934,황금코다리(오산궐동점),경기도 오산시 궐동,"카페,디저트>카페",,경상남도 함안군 가야읍 말산리 452-3 1층,경상남도 함안군 가야읍 가야로 23 1층,436918,297658,,
849017,소먹고돼지먹고,서울특별시 동대문구 청량리동,,,,,,,,
849352,태국뷔페,경상북도 문경시 신기동,"쇼핑,유통>식료품",,전라남도 영광군 영광읍 남천리 245-2,전라남도 영광군 영광읍 중앙로 175-3,264800,298308,,
849511,머슬엑스짐,서울특별시 강북구 수유동,,,,,,,,
849619,루시카페공방,대전광역시 동구 용운동,"쇼핑,유통>채소",,경기도 수원시 영통구 매탄동 153-15,경기도 수원시 영통구 중부대로 260,315429,519595,,
849626,용마바베큐파티,서울특별시 중랑구 면목동,"카페,디저트>카페",,강원도 횡성군 횡성읍 읍하리 158,강원도 횡성군 횡성읍 중앙로 45-8,398474,543106,,
849643,랏츠,부산광역시 영도구 영선동4가,"음식점>치킨,닭강정",,대구광역시 동구 검사동 1111 502동110호(검사동.동촌역태왕아너스르네상스),대구광역시 동구 동촌로 100,459061,365359,,
850057,넌찌개난수육,인천광역시 남동구 만수동,,,,,,,,
850061,봉구통닭 춘천퇴계로점,강원도 춘천시 석사동,,,,,,,,
850213,맘뜰리에,충청남도 서산시 예천동,,,,,,,,
850228,동포권투체육관,서울특별시 강동구 천호동,분식>김밥,,경기도 의정부시 의정부동 236-3,경기도 의정부시 가능로125번길 26,316022,572179,,
850233,이디야커피 동탄하나로유통센터,경기도 화성시,"서비스,산업>물류,유통",,광주광역시 북구 동림동 306,광주광역시 북구 동운로 127,296817,286818,,
850326,이즈리얼PC,대구광역시 수성구 지산동,,,,,,,,
