store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
14527,페이스몰(Faithmall),경기도 광명시 소하동,,,,,,,,,X
14557,서광엔비에이 주식회사,서울특별시 금천구 가산동,,,,,,,,,X
14563,모노(MONO)여성의류,경기도 의정부시 산곡동,,,,,,,,,X
14617,더벤티 용인중앙시장점,경기도 용인시 처인구 김량장동,,,,,,,,,X
14661,샐러디 천안성정점,충청남도 천안시 서북구 성정동,,,,,,,,,X
15013,송우산업,서울특별시 성북구 하월곡동,,,,,,,,,X
15026,비발디 스크린골프,강원도 홍천군 서면 굴업리,,,,,,,,,X
15060,이배달마약삼겹떡볶이단계점,강원도 원주시 단계동,"한식>전,빈대떡",,경기도 화성시 남양읍 남양리 2074-10,경기도 화성시 남양읍 역골로 23-2,296093,511795,,,X
15077,정일품협동조합,부산광역시 강서구 대저2동,일식>일식당,,서울특별시 송파구 송파동 10-7 101호,서울특별시 송파구 백제고분로41길 33 101호,321191,545537,,,X
15095,소래1번지,인천광역시 남동구 논현동,"카페,디저트>카페",,전라남도 여수시 돌산읍 우두리 757,전라남도 여수시 돌산읍 진두해안길 131,377221,237165,,http://www.coffeelovecoffee.com/,X
15113,국수나무 삼천점,전라북도 전주시 완산구 삼천동1가,,,,,,,,,X
15209,다릿목식당,강원도 정선군 신동읍 예미리,"생활,편의>편의점",,부산광역시 남구 대연동 564-13,부산광역시 남구 유엔평화로47번길 142,500448,281866,,,X
15273,씨유(CU) 대전열매11단지점,대전광역시 유성구 노은동,,,,,,,,,X
15312,그린F5울산동구 북구 본부,울산광역시 북구 진장동,,,,,,,,,X
15350,나의봄네일,서울특별시 강서구 마곡동,"생활,편의>주유소",,경기도 성남시 중원구 상대원동 252-4,경기도 성남시 중원구 갈마치로 233,327078,537312,,,X
15406,김층기꽃삼겹 (부산동구점),부산광역시 동구 수정동,"한식>칼국수,만두",,경기도 구리시 수택동 423-13,경기도 구리시 검배로 24-5,324453,555515,,,X
15489,화이트펜슬 민락수변공원점,부산광역시 수영구 민락동,"생활,편의>남성전문미용실",,경기도 성남시 수정구 산성동 1391,경기도 성남시 수정구 수정로 354,325002,539587,,,X
15495,케이에이치제이(KHJ),인천광역시 계양구 방축동,,,,,,,,,X
15618,제이에스파워텍 주식회사,경기도 안산시 단원구 성곡동,,,,,,,,,X
15675,씨유(CU) 아치산역점,서울특별시 광진구 구의동,"생활,편의>미용실",,전라북도 고창군 고창읍 교촌리 364 스마일빌 1층,,283082,316213,,,X
15743,안산중앙댑 드림점,경기도 안산시 단원구 고잔동,,,,,,,,,X
15763,마인드맵 창의연구소,대구광역시 중구 삼덕동2가,,,,,,,,,X
15796,엑스존 III,경상남도 창원시 성산구 중앙동,,,,,,,,,X
15813,용천카 타이어,충청남도 아산시 염치읍 염성리,분식>종합분식,,충청북도 충주시 안림동 1114-5 1층,충청북도 충주시 사직로 314 1층,395377,485290,,,X
16030,아트앤하트 남악오룡푸르지오교육원,전라남도 무안군 일로읍,,,,,,,,,X
16069,센서리 커피 로스터스 Sensory Coffee Roasters,서울특별시 성동구 금호동3가,,,,,,,,,X
16224,치킨더홈(신당점),대구광역시 달서구 신당동,,,,,,,,,X
