store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link
602784,숯불닭갈비 계륵장군and민족,전라북도 익산시 모현동1가,금융서비스>은행,,대전광역시 서구 둔산동 1420 9층,대전광역시 서구 둔산로 100 9층,344966,416825,,
602826,대전광역시청새마을금고,대전광역시 서구 둔산동,,,,,,,,
602834,주식회사 엠디코리아,경기도 남양주시 별내동,,,,,,,,
602899,동서에프엔씨,경기도 화성시 영천동,음식점>분식,,경상북도 구미시 옥계동 797-5,경상북도 구미시 산호대로35길 12-31 1층 102호,438550,393098,,
603001,삼첩분식구미옥계점,경상북도 구미시 옥계동,"쇼핑,유통>가공식품",,강원도 속초시 노학동 291-4,강원도 속초시 온천로 151,449134,621017,,
603041,할매유통,강원도 속초시 노학동,일식>돈가스,,부산광역시 강서구 명지동 3478-4 323동 106호,부산광역시 강서구 명지국제13로38번길 11,484431,279324,,
603067,생생돈까스 명지국제점,부산광역시 강서구 명지동,"쇼핑,유통>과일",,서울특별시 도봉구 방학동 686-37,서울특별시 도봉구 도봉로145길 40 1층 우측,315536,562921,,
603120,노총각 청과야채,서울특별시 도봉구 방학동,,,,,,,,
603139,나이스가람정보통신,경상남도 진주시 가좌동,분식>종합분식,,전라북도 김제시 요촌동 116-9,전라북도 김제시 서낭당길 117,299941,356109,,
603251,행복잔치,전라북도 김제시 요촌동,,,,,,,,
603401,싸다구청과,경기도 화성시 병점동,"미용>네일아트,네일샵",,경기도 시흥시 정왕동 2541-1,경기도 시흥시 서울대학로278번길 62 문영퀸즈파크 101호 ,287843,530283,,
603626,넬라네일,경기도 시흥시 정왕동,,,,,,,,
603628,싸군마켓 가좌역점,인천광역시 서구 가좌동,,,,,,,,
603684,오늘도'자기,경기도 남양주시 호평동,,,,,,,,
603863,원율,서울특별시 용산구 한남동,"미용>두피,탈모관리",,경상남도 김해시 부원동 61-43,경상남도 김해시 호계로463번길 21,480651,292723,,
603937,제이엠제이 맨 헤어,경상남도 김해시 부원동,,,,,,,,
603985,루미헤라,서울특별시 서초구 반포동,,,,,,,,
604075,수정맘어린이집,경기도 수원시 영통구 영통동,,,,,,,,
604095,뉴욕링구아영어교습소,부산광역시 수영구 망미동,"교육,학문>어린이집",,대구광역시 북구 대현동 531 대현휴먼시아아파트,대구광역시 북구 대현남로 25 대현휴먼시아아파트,454781,364795,,
604154,대현휴먼시아어린이집,대구광역시 북구 대현동,"한식>육류,고기요리",,경기도 시흥시 신천동 770,경기도 시흥시 신천로 94,292823,538101,,http://instagram.com/heum2da
604262,명륜진사갈비 시흥신천역점,경기도 시흥시 신천동,"카페,디저트>베이커리",,서울특별시 은평구 갈현동 445-16 1층,서울특별시 은평구 갈현로33길 16 1층,304392,558196,,http://instagram.com/cookie_nal
604277,쿠키 날,서울특별시 은평구 갈현동,,,,,,,,
604309,락락락가라오케,경상남도 거제시 장평동,,,,,,,,
604350,나인에일즈 크레프트 비어,서울특별시 강동구 길동,,,,,,,,
604392,한지수학원,경기도 남양주시 평내동,"카페,디저트>카페",,경기도 가평군 상면 행현리 515-6,경기도 가평군 상면 수목원로 246 1층 보타니칼 테라스,343874,572911,,https://blog.naver.com/kazu012
604510,보타니칼 테라스,경기도 가평군 상면 행현리,,,,,,,,
604568,금용교역주식회사,울산광역시 남구 야음동,,,,,,,,
604579,씨이앤씨(CEandC),서울특별시 중구 중림동,술집>이자카야,,전라남도 여수시 신기동 112-8,전라남도 여수시 신기남1길 26 야키토리 동락,369936,240196,,
604772,야키토리 동락,전라남도 여수시 신기동,,,,,,,,
604831,어서오리,전라북도 완주군 봉동읍 둔산리,,,,,,,,
604951,첼시술파는노래방,강원도 원주시 단계동,교습학원>수학학원,,서울특별시 노원구 중계동 364-17,서울특별시 노원구 한글비석로 232 601호,318744,561084,,
605090,유철문 수학교습소,서울특별시 노원구 중계동,,,,,,,,
605099,주식회사 피앤피플러스,경기도 김포시 고촌읍 전호리,"쇼핑,유통>주류",,경기도 안양시 만안구 안양동 1393,경기도 안양시 만안구 안양천서로 177 래미안 메가트리아 상가 1동 30호,305513,533105,,
605122,바른와인,경기도 안양시 만안구 안양동,화물운송>택배,,전라북도 익산시 인화동1가 188-3,전라북도 익산시 목천로7길 10,305581,370463,,
605179,익산인화1가188,전라북도 익산시 인화동1가,"컴퓨터프로그래밍,정보서비스업>인터넷상거래",,서울특별시 강남구 역삼동 737 강남 파이낸스센터 34층,서울특별시 강남구 테헤란로 152 강남파이낸스센터,315004,544639,,http://www.gmarket.co.kr/
605258,인터넷상거래,서울특별시 강남구 역삼동,,,,,,,,
605444,감탄떡볶이 전주효천점,전라북도 전주시 완산구 삼천동2가,,,,,,,,
605878,엘지(LG)럭셔리뷰티 대공원점,울산광역시 남구 옥동,"생활,편의>편의점",,대전광역시 중구 문화동 311-40,대전광역시 중구 서문로 109 (문화동 311-48),346906,413210,,http://gs25.gsretail.com/
605889,지에스25 대전서문로점,대전광역시 중구,,,,,,,,
606118,청담 아로마,경기도 용인시 처인구 모현읍 왕산리,음식점>분식,,경상남도 진주시 상대동 298-31,경상남도 진주시 솔밭로 110,409953,286687,,
606137,바푸리진주시청점,경상남도 진주시 상대동,"미용>피부,체형관리",,서울특별시 마포구 합정동 412-17,서울특별시 마포구 양화로6길 62 3층,304554,550146,,
606171,더로제(THE ROSE),서울특별시 마포구 합정동,,,,,,,,
606217,주택가 천호점,서울특별시 강동구 성내동,"미용>피부,체형관리",,전라북도 전주시 완산구 평화동2가 900-2,전라북도 전주시 완산구 평화3길 25,321596,354065,,https://blog.naver.com/twwobell
606386,네츄럴 스킨케어 올가휴,전라북도 전주시 완산구 평화동2가,,,,,,,,
606390,위고딜리버리-옥산점,충청북도 청주시 흥덕구 옥산면 가락리,,,,,,,,
606462,디와이(DY) 서비스,경상북도 경산시 압량읍 의송리,,,,,,,,
606770,단이어트,서울특별시 강동구 상일동,,,,,,,,
606976,완주엘리트배드민턴스포츠,전라북도 완주군 봉동읍 낙평리,,,,,,,,
607018,호남유통,전라북도 순창군 순창읍 신남리,"시설,건물>주택",,울산광역시 남구 달동 591-14,울산광역시 남구 신정로54번길 26,520297,327226,,
607093,문희,울산광역시 남구 삼산동,음식점>한식,,경상남도 진주시 평거동 860,경상남도 진주시 새들말로 34-3,405517,285307,,
607321,조선불고기밀면,경상남도 진주시 평거동,"스포츠,레크레이션학원>체육입시학원",,전라북도 익산시 모현동1가 122-4,전라북도 익산시 선화로23길 17,305191,372653,,https://www.facebook.com/맥스체대입시-익산교육원-105707671187055/
607338,맥스체대입시 익산교육원,전라북도 익산시 모현동1가,"스포츠,레크레이션학원",,서울특별시 종로구 혜화동 185,서울특별시 종로구 대학로 144,312061,553997,,
607455,슈퍼스타,서울특별시 종로구 혜화동,"육류,고기요리>돼지고기구이",,인천광역시 서구 청라동 118-8,인천광역시 서구 청라라임로138번길 4-9,281251,549440,,
607465,배달삼겹 직구삼,인천광역시 서구 청라동,제조업>악세사리제조,,경기도 안산시 단원구 원곡동 846-3,경기도 안산시 단원구 라성로 36,293890,525706,,
607841,프롬제이,경기도 안산시 단원구 원곡동,,,,,,,,
607953,주식회사 제스트엘로퀀스,서울특별시 서초구 서초동,일식>일식당,,경기도 고양시 덕양구 신원동 628-2 1층,경기도 고양시 덕양구 권율대로 904 1층,302370,562966,,
607972,긴자료코 삼송점,경기도 고양시 덕양구 신원동,"생활,편의>꽃집,꽃배달",,서울특별시 서대문구 대현동  37-32,서울특별시 서대문구 이화여대5길 35 영타운지웰에스테이트 1층 102호,306889,551199,,
607995,벨르,서울특별시 서대문구 대현동,"카페,디저트>베이커리",,대구광역시 중구 문화동 6-11 2층,대구광역시 중구 국채보상로123길 25 2층,454147,363717,,http://instagram.com/ofneat
608021,오브닛,대구광역시 중구 문화동,,,,,,,,
608105,쥬티펫앤캣,대전광역시 동구 용전동,"쇼핑,유통>화장품,향수",,서울특별시 중구 충무로1가 54,서울특별시 중구 퇴계로 77,310130,551415,,
608160,더블유쇼핑,서울특별시 중구 순화동,,,,,,,,
608236,바바노래클럽,충청남도 아산시 둔포면 석곡리,"생활,편의>미용실",,경기도 성남시 분당구 정자동 165-1,경기도 성남시 분당구 정자일로 146 엠코헤리츠 1단지 122호,321054,529382,,
608390,에디정,경기도 성남시 분당구 정자동,,,,,,,,
608468,제이툴스(J TOOLS),경기도 시흥시 정왕동,"음식점>카페,디저트",,서울특별시 성동구 행당동 155-1,서울특별시 성동구 왕십리로 241,315387,550882,,
608475,오직그대만티앤펑,서울특별시 성동구 행당동,,,,,,,,
608532,대아푸드 수성점,대구광역시 수성구 수성동2가,,,,,,,,
608658,루나푸드,경기도 광주시 송정동,,,,,,,,
608787,바른독해독서논술교습소,경기도 김포시 북변동,"음식점>카페,디저트",,부산광역시 수영구 민락동 176-29 2층,부산광역시 수영구 광안해변로277번길 3 2층,502603,284711,,http://instagram.com/bobae.note
608892,겟오프,부산광역시 수영구 민락동,,,,,,,,
608951,(주)벨비죠바이오,전라남도 완도군 완도읍 죽청리,,,,,,,,
608989,딤드,대구광역시 수성구 만촌동,"쇼핑,유통>과학기기,장비",,부산광역시 사상구 괘법동 562-64,부산광역시 사상구 광장로56번길 60-10 2층,489604,284977,,
609003,신영측기,부산광역시 사상구 괘법동,"생활,편의>편의점",,경기도 이천시 부발읍 산촌리 521-3,경기도 이천시 부발읍 대산로 561,354501,518347,,http://www.emart24.co.kr
